"class","term","property","parent term","depth","term kind","field tier","abstract","description","rdfs:comment","json path","reached via paths"
"Inference","sample.itemListElement.includedInDataCatalog.name","name","sample.itemListElement.includedInDataCatalog","4","validation property","","","Data or tool catalog name","","hits[Inference].validation.properties.sample.anyOf[4].items.properties.itemListElement.oneOf[0].properties.includedInDataCatalog.oneOf[0].properties.name","8"
"Inference","sample.itemListElement.includedInDataCatalog.url","url","sample.itemListElement.includedInDataCatalog","4","validation property","","","Link to data or tool catalog","","hits[Inference].validation.properties.sample.anyOf[4].items.properties.itemListElement.oneOf[0].properties.includedInDataCatalog.oneOf[0].properties.url","8"
"Inference","sample.itemListElement.includedInDataCatalog.versionDate","versionDate","sample.itemListElement.includedInDataCatalog","4","validation property","","","date the metadata was harvested from the catalog","","hits[Inference].validation.properties.sample.anyOf[4].items.properties.itemListElement.oneOf[0].properties.includedInDataCatalog.oneOf[0].properties.versionDate","8"
"Inference","sample.itemListElement.includedInDataCatalog.archivedAt","archivedAt","sample.itemListElement.includedInDataCatalog","4","validation property","","","The url(s) of one or more datasets, tools, resources or other items listed in a DataCatalog or ResourceCatalog","","hits[Inference].validation.properties.sample.anyOf[4].items.properties.itemListElement.oneOf[0].properties.includedInDataCatalog.oneOf[0].properties.archivedAt","8"
"Inference","sample.numberOfItems","numberOfItems","sample","2","validation property","","","The number of sample records in the sample collection. Min/max estimates can be used in lieu of actual number. If completely unknown, set value = 0, and unitText = 'unknown'","","hits[Inference].validation.properties.sample.anyOf[4].items.properties.numberOfItems","2"
"Inference","sample.numberOfItems.name","name","sample.numberOfItems","3","validation property","","","The name of the property.","","hits[Inference].validation.properties.sample.anyOf[4].items.properties.numberOfItems.anyOf[0].items.properties.name","4"
"Inference","sample.numberOfItems.value","value","sample.numberOfItems","3","validation property","","","The value of a QuantitativeValue (including Observation) or property value node.","","hits[Inference].validation.properties.sample.anyOf[4].items.properties.numberOfItems.anyOf[0].items.properties.value","4"
"Inference","sample.numberOfItems.unitText","unitText","sample.numberOfItems","3","validation property","","","A unit associated with the value. E.g.- 'records' for the number of records in a database.","","hits[Inference].validation.properties.sample.anyOf[4].items.properties.numberOfItems.anyOf[0].items.properties.unitText","8"
"Inference","sample.numberOfItems.propertyID","propertyID","sample.numberOfItems","3","validation property","","","A commonly used identifier for the characteristic represented by the property...","","hits[Inference].validation.properties.sample.anyOf[4].items.properties.numberOfItems.anyOf[0].items.properties.propertyID","4"
"Inference","sample.numberOfItems.value","value","sample.numberOfItems","3","validation property","","","A numeric value for the property","","hits[Inference].validation.properties.sample.anyOf[4].items.properties.numberOfItems.anyOf[2].items.properties.value","4"
"Inference","sample.numberOfItems.maxValue","maxValue","sample.numberOfItems","3","validation property","","","An estimated maximum numberic value if the actual value is not known. Ignore if actual numeric value is known.","","hits[Inference].validation.properties.sample.anyOf[4].items.properties.numberOfItems.anyOf[2].items.properties.maxValue","4"
"Inference","sample.numberOfItems.minValue","minValue","sample.numberOfItems","3","validation property","","","An estimated minumum numeric value if the actual value is not known. Ignore if actual numeric value is known.","","hits[Inference].validation.properties.sample.anyOf[4].items.properties.numberOfItems.anyOf[2].items.properties.minValue","4"
"Inference","observationPeriod","observationPeriod","","1","validation property","optional","","The length of time an Observation took place over. The format follows `P[0-9]*[Y|M|D|h|m|s]`. For example, P1Y is Period 1 Year, P3M is Period 3 Months, P3h is Period 3 hours.","","hits[Inference].validation.properties.observationPeriod","1"
"Inference","observationPeriod.duration","duration","observationPeriod","2","validation property","","","A time interval in ISO 8601 duration format","","hits[Inference].validation.properties.observationPeriod.oneOf[1].properties.duration","1"
"Inference","observationPeriod.endDate","endDate","observationPeriod","2","validation property","","","An end date","","hits[Inference].validation.properties.observationPeriod.oneOf[1].properties.endDate","1"
"Inference","observationPeriod.name","name","observationPeriod","2","validation property","","","String describing the temporal interval","","hits[Inference].validation.properties.observationPeriod.oneOf[1].properties.name","1"
"Inference","observationPeriod.startDate","startDate","observationPeriod","2","validation property","","","A start date","","hits[Inference].validation.properties.observationPeriod.oneOf[1].properties.startDate","1"
"Inference","observationPeriod.temporalType","temporalType","observationPeriod","2","validation property","","","Categorization of how the date/temporal interval relates to the dataset","","hits[Inference].validation.properties.observationPeriod.oneOf[1].properties.temporalType","1"
"Inference","measurementQualifier","measurementQualifier","","1","validation property","required","","Provides additional qualification to an observation. For example, a GDP observation measures the Nominal value.","","hits[Inference].validation.properties.measurementQualifier","1"
"Inference","measuredProperty","measuredProperty","","1","validation property","required","","The measuredProperty of an [[Observation]], typically via its [[StatisticalVariable]]. There are various kinds of applicable [[Property]]: a schema.org property, a property from other RDF-compatible systems, e.g. W3C RDF Data Cube, Data Commons, Wikidata, or schema.org extensions such as [GS1's](https://www.gs1.org/voc/?show=properties).","","hits[Inference].validation.properties.measuredProperty","1"
"Inference","measuredProperty.description","description","measuredProperty","2","validation property","","","Description of the property","","hits[Inference].validation.properties.measuredProperty.anyOf[0].properties.description","2"
"Inference","measuredProperty.name","name","measuredProperty","2","validation property","","","Name of the property","","hits[Inference].validation.properties.measuredProperty.anyOf[0].properties.name","2"
